Date,Site,Combined HYAR Max Activity,Discharge (cms),Min Daily Temp (degrees C)
3/5/2022,WB2-Wet,NA,NA,NA
3/6/2022,WB2-Wet,NA,NA,NA
3/7/2022,WB2-Wet,NA,NA,NA
3/8/2022,WB2-Wet,NA,NA,NA
3/9/2022,WB2-Wet,NA,NA,NA
3/10/2022,WB2-Wet,NA,NA,NA
3/11/2022,WB2-Wet,NA,NA,NA
3/12/2022,WB2-Wet,0,NA,NA
3/13/2022,WB2-Wet,0,NA,NA
3/14/2022,WB2-Wet,0,0.006,NA
3/15/2022,WB2-Wet,0,0.006,NA
3/16/2022,WB2-Wet,0,0.016,NA
3/17/2022,WB2-Wet,0,0.074,NA
3/18/2022,WB2-Wet,0,0.051,NA
3/19/2022,WB2-Wet,0,0.042,NA
3/20/2022,WB2-Wet,0,0.022,NA
3/21/2022,WB2-Wet,0,0.013,NA
3/22/2022,WB2-Wet,0,0.009,NA
3/23/2022,WB2-Wet,0,0.006,NA
3/24/2022,WB2-Wet,0,0.005,NA
3/25/2022,WB2-Wet,0,0.005,NA
3/26/2022,WB2-Wet,0,0.008,NA
3/27/2022,WB2-Wet,0,0.008,NA
3/28/2022,WB2-Wet,0,0.006,NA
3/29/2022,WB2-Wet,0,0.005,NA
3/30/2022,WB2-Wet,0,0.165,NA
3/31/2022,WB2-Wet,0,0.173,NA
4/1/2022,WB2-Wet,0,0.025,NA
4/2/2022,WB2-Wet,0,0.008,NA
4/3/2022,WB2-Wet,0,0.004,NA
4/4/2022,WB2-Wet,0,0.002,NA
4/5/2022,WB2-Wet,0,0.001,NA
4/6/2022,WB2-Wet,0,0.001,NA
4/7/2022,WB2-Wet,0,0.001,NA
4/8/2022,WB2-Wet,0,0.001,NA
4/9/2022,WB2-Wet,0,0.001,NA
4/10/2022,WB2-Wet,0,0.001,NA
4/11/2022,WB2-Wet,0,0.001,NA
4/12/2022,WB2-Wet,0,0.001,NA
4/13/2022,WB2-Wet,0,0.001,NA
4/14/2022,WB2-Wet,0,0.001,NA
4/15/2022,WB2-Wet,1,0.001,NA
4/16/2022,WB2-Wet,0,0.001,NA
4/17/2022,WB2-Wet,0,0.001,NA
4/18/2022,WB2-Wet,0,0.001,NA
4/19/2022,WB2-Wet,0,0.001,NA
4/20/2022,WB2-Wet,0,0.001,NA
4/21/2022,WB2-Wet,1,0.001,NA
4/22/2022,WB2-Wet,0,0.001,NA
4/23/2022,WB2-Wet,0,0.001,NA
4/24/2022,WB2-Wet,0,0.001,NA
4/25/2022,WB2-Wet,3,0.001,NA
4/26/2022,WB2-Wet,2,0.001,NA
4/27/2022,WB2-Wet,3,0.001,NA
4/28/2022,WB2-Wet,2,0.001,NA
4/29/2022,WB2-Wet,3,0.001,NA
4/30/2022,WB2-Wet,3,0.001,NA
5/1/2022,WB2-Wet,0,0.001,NA
5/2/2022,WB2-Wet,3,0.001,NA
5/3/2022,WB2-Wet,2,0.001,NA
5/4/2022,WB2-Wet,2,0.001,NA
5/5/2022,WB2-Wet,3,0.001,NA
5/6/2022,WB2-Wet,3,0.001,NA
5/7/2022,WB2-Wet,3,0.001,NA
5/8/2022,WB2-Wet,0,0.001,NA
5/9/2022,WB2-Wet,0,0.001,NA
5/10/2022,WB2-Wet,2,0.001,NA
5/11/2022,WB2-Wet,0,0.001,NA
5/12/2022,WB2-Wet,2,0.001,NA
5/13/2022,WB2-Wet,3,0.001,NA
5/14/2022,WB2-Wet,3,0.001,NA
5/15/2022,WB2-Wet,3,0.001,NA
5/16/2022,WB2-Wet,3,0.001,NA
5/17/2022,WB2-Wet,3,0.001,NA
5/18/2022,WB2-Wet,2,0.001,NA
5/19/2022,WB2-Wet,3,0.001,NA
5/20/2022,WB2-Wet,0,0.001,NA
5/21/2022,WB2-Wet,0,0.001,NA
5/22/2022,WB2-Wet,2,0.001,NA
5/23/2022,WB2-Wet,3,0.001,NA
5/24/2022,WB2-Wet,3,0.001,NA
5/25/2022,WB2-Wet,3,0.001,NA
5/26/2022,WB2-Wet,3,0.001,NA
5/27/2022,WB2-Wet,3,0.001,NA
5/28/2022,WB2-Wet,0,0.001,NA
5/29/2022,WB2-Wet,0,0.001,NA
5/30/2022,WB2-Wet,0,0.001,NA
5/31/2022,WB2-Wet,1,0.001,NA
6/1/2022,WB2-Wet,3,0.001,23.571
6/2/2022,WB2-Wet,3,0.001,16.921
6/3/2022,WB2-Wet,2,0.001,23.485
6/4/2022,WB2-Wet,2,0.001,22.370
6/5/2022,WB2-Wet,1,0.001,22.498
6/6/2022,WB2-Wet,3,0.001,22.027
6/7/2022,WB2-Wet,3,0.001,14.905
6/8/2022,WB2-Wet,0,0.001,19.152
6/9/2022,WB2-Wet,NA,0.001,18.938
6/10/2022,WB2-Wet,NA,0.001,20.997
6/11/2022,WB2-Wet,NA,0.001,20.396
6/12/2022,WB2-Wet,NA,0.001,20.782
6/13/2022,WB2-Wet,NA,0.001,19.152
6/14/2022,WB2-Wet,NA,0.001,18.294
6/15/2022,WB2-Wet,NA,0.001,16.407
6/16/2022,WB2-Wet,NA,0.001,18.466
6/17/2022,WB2-Wet,NA,0.001,20.225
6/18/2022,WB2-Wet,NA,0.001,17.479
6/19/2022,WB2-Wet,NA,0.001,16.149
6/20/2022,WB2-Wet,NA,0.001,13.575
6/21/2022,WB2-Wet,NA,0.001,16.063
6/22/2022,WB2-Wet,NA,0.001,19.538
6/23/2022,WB2-Wet,NA,0.001,18.723
6/24/2022,WB2-Wet,NA,0.001,15.677
6/25/2022,WB2-Wet,NA,0.001,17.865
6/26/2022,WB2-Wet,NA,0.001,18.294
6/27/2022,WB2-Wet,NA,0.001,16.664
6/28/2022,WB2-Wet,NA,0.001,19.109
6/29/2022,WB2-Wet,NA,0.001,20.439
6/30/2022,WB2-Wet,NA,0.001,20.353
7/1/2022,WB2-Wet,NA,0.001,19.710
7/2/2022,WB2-Wet,NA,0.001,20.697
7/3/2022,WB2-Wet,NA,0.001,19.667
7/4/2022,WB2-Wet,NA,0.001,18.680
7/5/2022,WB2-Wet,NA,0.001,20.268
7/6/2022,WB2-Wet,NA,0.001,18.123
7/7/2022,WB2-Wet,NA,0.001,17.093
7/8/2022,WB2-Wet,NA,0.001,19.882
7/9/2022,WB2-Wet,NA,0.001,21.555
7/10/2022,WB2-Wet,NA,0.001,20.997
7/11/2022,WB2-Wet,NA,0.001,22.027
7/12/2022,WB2-Wet,NA,0.001,21.211
7/13/2022,WB2-Wet,NA,0.001,21.469
7/14/2022,WB2-Wet,NA,0.001,21.512
7/15/2022,WB2-Wet,NA,0.001,20.611
7/16/2022,WB2-Wet,NA,0.001,20.396
7/17/2022,WB2-Wet,NA,0.001,21.426
7/18/2022,WB2-Wet,NA,0.001,21.426
7/19/2022,WB2-Wet,NA,0.001,22.799
7/20/2022,WB2-Wet,NA,0.001,22.756
7/21/2022,WB2-Wet,NA,0.001,23.871
7/22/2022,WB2-Wet,NA,0.001,22.456
7/23/2022,WB2-Wet,NA,0.001,18.981
7/24/2022,WB2-Wet,NA,0.001,19.453
7/25/2022,WB2-Wet,NA,0.001,19.753
7/26/2022,WB2-Wet,NA,0.001,19.924
7/27/2022,WB2-Wet,NA,0.001,18.208
7/28/2022,WB2-Wet,NA,0.001,17.565
7/29/2022,WB2-Wet,NA,0.001,17.093
7/30/2022,WB2-Wet,NA,0.001,18.852
7/31/2022,WB2-Wet,NA,0.009,17.737
3/1/2022,RR1,NA,0.000,0.491
3/2/2022,RR1,NA,0.000,-1.183
3/3/2022,RR1,NA,0.000,-0.410
3/4/2022,RR1,NA,0.000,1.005
